url,title,site,cook_time_val,cook_time_unit,prep_time_val,prep_time_unit,total_time_val,total_time_unit,rating
https://www.seriouseats.com/recipes/2013/03/skillet-mussels-coconut-milk-curry-recipe.html,Skillet Mussels with Coconut Milk and Curry Recipe,seriouseats,5.0,min,20.0,min,25.0,min,-1
https://www.seriouseats.com/recipes/2019/11/kanuchi-cherokee-pureed-nut-soup.html,"Kanuchi, (Cherokee Pureed Nut Soup) Recipe",seriouseats,30.0,min,30.0,min,60.0,min,-1
https://www.seriouseats.com/recipes/2012/03/ajitsuke-tamago-japanese-marinated-soft-boiled-egg-recipe.html,Japanese Marinated Soft Boiled Egg for Ramen (Ajitsuke Tamago) Recipe,seriouseats,230.0,min,10.0,min,240.0,min,2.75
https://www.seriouseats.com/recipes/2013/06/iced-oatmeal-raisin-cookie-pie-recipe.html,Iced Oatmeal Raisin Cookie Pie Recipe,seriouseats,25.0,min,15.0,min,40.0,min,-1
https://www.seriouseats.com/recipes/2017/10/pear-galette-recipe.html,Simple Pear Galette With Vanilla Recipe,seriouseats,1660.0,min,20.0,min,1680.0,min,5
https://www.seriouseats.com/recipes/2016/01/new-fashioned-snickerdoodle-cookie-recipe.html,New-Fashioned Snickerdoodles Recipe,seriouseats,25.0,min,20.0,min,45.0,min,4.8461538461538
https://www.seriouseats.com/recipes/2013/11/pumpkin-sweet-swirl-buns.html,Pumpkin Sweet Swirl Buns Recipe,seriouseats,-24.0,min,25.0,min,1.0,min,-1
https://www.seriouseats.com/recipes/2013/06/basil-cornmeal-sandwich-cookies-with-apricot-filling-recipe.html,Basil Cornmeal Sandwich Cookies with Apricot Filling Recipe,seriouseats,10.0,min,20.0,min,30.0,min,-1
https://www.seriouseats.com/recipes/2011/08/white-chocolate-chip-zucchini-cookie-recipe.html,White Chocolate Chip Zucchini Cookies Recipe,seriouseats,30.0,min,20.0,min,50.0,min,-1
https://www.seriouseats.com/recipes/2012/05/maple-brown-sugar-oatmeal-cookies-recipe.html,Maple Brown Sugar Oatmeal Cookies Recipe,seriouseats,20.0,min,20.0,min,40.0,min,4.6666666666667
https://www.seriouseats.com/recipes/2016/11/sweet-potato-pie-recipe.html,Silky Sweet Potato Pie Recipe,seriouseats,60.0,min,60.0,min,120.0,min,4.8666666666667
https://www.seriouseats.com/recipes/2012/07/coconut-butterscotch-chip-scotchies-cookies-recipe.html,Coconut Scotchies Recipe,seriouseats,15.0,min,20.0,min,35.0,min,4
https://www.seriouseats.com/recipes/2015/11/sweet-potato-casserole-marshmallow-recipe.html,Sweet Potato Casserole Recipe,seriouseats,170.0,min,40.0,min,210.0,min,5
https://www.seriouseats.com/recipes/2012/05/what-to-do-with-leftover-pie-parfait-recipe.html,Leftover Pie Parfait Recipe,seriouseats,60.0,min,5.0,min,65.0,min,-1
https://www.seriouseats.com/recipes/2017/04/asparagus-tarragon-veloute-soup-recipe.html,Asparagus and Tarragon Velouté (Dairy-Free Creamy Asparagus Soup) Recipe,seriouseats,5.0,min,15.0,min,20.0,min,4.5
https://www.seriouseats.com/recipes/2012/03/malted-chocolate-marshmallow-recipe.html,Chocolate Malt Marshmallows,seriouseats,360.0,min,30.0,min,390.0,min,-1
https://www.seriouseats.com/recipes/2015/09/summer-vegetable-lasagna-recipe.html,"Summer Vegetable Lasagna With Zucchini, Squash, Eggplant, and Tomato Recipe",seriouseats,45.0,min,60.0,min,105.0,min,4.5
https://www.seriouseats.com/recipes/2013/05/anzac-cookie-pineapple-ice-cream-sandwiches-recipe.html,Anzac Cookie and Pineapple Ice Cream Sandwiches Recipe,seriouseats,90.0,min,30.0,min,120.0,min,-1
https://www.seriouseats.com/recipes/2012/09/how-to-brew-belgian-strong-dark-ale-beer-homebrewing-recipe.html,St. Benedict Belgian Dark Strong Ale (for Advanced Homebrewers) Recipe,seriouseats,-292.0,min,300.0,min,8.0,min,-1
